Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
22-Sep-2023,EQ,45.15,47.25,45.05,44.85,46.8,46.9,46.23,51.4,16.9,"9,12,54,431","4,21,82,87,964.65","92,390"
21-Sep-2023,EQ,46.5,48.3,44.3,46.3,45.05,44.85,46.22,51.4,16.9,"9,97,42,614","4,60,99,95,642.30","1,03,032"
20-Sep-2023,EQ,47.3,49.2,45.65,48.15,46.85,46.3,47.4,51.4,16.9,"10,71,06,927","5,07,69,52,855.30","1,14,513"
18-Sep-2023,EQ,45.15,51.4,44.6,45.1,47.4,48.15,48.61,51.4,16.9,"29,82,42,980","14,49,62,92,976.20","2,56,604"
15-Sep-2023,EQ,44.0,46.2,43.75,43.95,44.8,45.1,45.3,46.2,16.9,"10,76,60,126","4,87,64,97,990.90","94,830"
14-Sep-2023,EQ,43.3,44.25,42.6,43.0,43.95,43.95,43.42,44.75,16.9,"5,82,23,238","2,52,79,73,489.25","54,799"
13-Sep-2023,EQ,41.0,43.3,40.1,41.1,43.0,43.0,41.73,44.75,16.9,"6,25,83,974","2,61,14,06,114.05","61,742"
12-Sep-2023,EQ,44.7,44.75,40.6,44.3,41.15,41.1,42.14,44.75,16.9,"6,30,28,944","2,65,58,83,120.10","74,765"
11-Sep-2023,EQ,42.4,44.7,42.3,42.05,44.2,44.3,43.65,44.7,16.9,"6,75,62,208","2,94,91,94,469.00","61,538"
08-Sep-2023,EQ,42.5,42.8,41.85,42.3,42.2,42.05,42.22,42.8,16.9,"3,26,78,301","1,37,97,70,710.40","31,261"
07-Sep-2023,EQ,41.2,42.6,41.1,41.1,42.2,42.3,41.92,42.7,16.9,"3,88,22,802","1,62,75,33,580.30","33,041"
06-Sep-2023,EQ,41.9,42.0,40.55,41.7,41.1,41.1,41.11,42.7,16.9,"2,58,94,563","1,06,45,79,282.65","28,277"
05-Sep-2023,EQ,41.85,42.7,40.8,41.65,41.8,41.7,41.79,42.7,16.9,"5,68,40,184","2,37,55,04,128.15","54,453"
04-Sep-2023,EQ,38.65,41.85,38.5,38.35,41.6,41.65,40.79,41.85,16.9,"9,07,69,377","3,70,23,24,765.35","80,457"
